 [x] Sent b'[2/20/2023 8:58, 88.0]' on route-C
 [x] Sent b'[2/20/2023 9:07, 106.0]' on route-C
 [x] Sent b'[2/20/2023 9:07, 122.0]' on route-A
 [x] Sent b'[2/20/2023 9:07, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:07, 94.0]' on route-C
 [x] Sent b'[2/20/2023 9:07, 92.0]' on route-B
 [x] Sent b'[2/20/2023 9:07, 105.0]' on route-C
 [x] Sent b'[2/20/2023 9:08, 118.0]' on route-A
 [x] Sent b'[2/20/2023 9:08, 128.0]' on route-B
 [x] Sent b'[2/20/2023 9:08, 117.0]' on route-A
 [x] Sent b'[2/20/2023 9:08, 108.0]' on route-B
 [x] Sent b'[2/20/2023 9:08, 118.0]' on route-C
 [x] Sent b'[2/20/2023 9:08, 97.0]' on route-A
 [x] Sent b'[2/20/2023 9:08, 97.0]' on route-B
 [x] Sent b'[2/20/2023 9:08, 91.0]' on route-C
 [x] Sent b'[2/20/2023 9:09, 93.0]' on route-A
 [x] Sent b'[2/20/2023 9:09, 101.0]' on route-B
 [x] Sent b'[2/20/2023 9:09, 115.0]' on route-C
 [x] Sent b'[2/20/2023 9:09, 112.0]' on route-A
 [x] Sent b'[2/20/2023 9:09, 93.0]' on route-B
 [x] Sent b'[2/20/2023 9:09, 103.0]' on route-C
 [x] Sent b'[2/20/2023 9:09, 120.0]' on route-A
 [x] Sent b'[2/20/2023 9:09, 114.0]' on route-B
 [x] Sent b'[2/20/2023 9:09, 111.0]' on route-C
 [x] Sent b'[2/20/2023 9:10, 88.0]' on route-A
 [x] Sent b'[2/20/2023 9:10, 101.0]' on route-B
 [x] Sent b'[2/20/2023 9:10, 124.0]' on route-C
 [x] Sent b'[2/20/2023 9:10, 119.0]' on route-A
 [x] Sent b'[2/20/2023 9:10, 101.0]' on route-B
 [x] Sent b'[2/20/2023 9:10, 122.0]' on route-C
 [x] Sent b'[2/20/2023 9:10, 106.0]' on route-A
 [x] Sent b'[2/20/2023 9:10, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:10, 103.0]' on route-C
 [x] Sent b'[2/20/2023 9:11, 92.0]' on route-A
 [x] Sent b'[2/20/2023 9:11, 117.0]' on route-B
 [x] Sent b'[2/20/2023 9:11, 110.0]' on route-C
 [x] Sent b'[2/20/2023 9:11, 127.0]' on route-A
 [x] Sent b'[2/20/2023 9:11, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:11, 127.0]' on route-C
 [x] Sent b'[2/20/2023 9:11, 89.0]' on route-A
 [x] Sent b'[2/20/2023 9:11, 115.0]' on route-B
 [x] Sent b'[2/20/2023 9:11, 102.0]' on route-C
 [x] Sent b'[2/20/2023 9:12, 114.0]' on route-A
 [x] Sent b'[2/20/2023 9:12, 98.0]' on route-B
 [x] Sent b'[2/20/2023 9:12, 114.0]' on route-C
 [x] Sent b'[2/20/2023 9:12, 96.0]' on route-A
 [x] Sent b'[2/20/2023 9:12, 86.0]' on route-B
 [x] Sent b'[2/20/2023 9:12, 113.0]' on route-C
 [x] Sent b'[2/20/2023 9:12, 116.0]' on route-A
 [x] Sent b'[2/20/2023 9:12, 99.0]' on route-B
 [x] Sent b'[2/20/2023 9:12, 85.0]' on route-C
 [x] Sent b'[2/20/2023 9:13, 123.0]' on route-A
 [x] Sent b'[2/20/2023 9:13, 129.0]' on route-B
 [x] Sent b'[2/20/2023 9:13, 85.0]' on route-C
 [x] Sent b'[2/20/2023 9:13, 103.0]' on route-A
 [x] Sent b'[2/20/2023 9:13, 105.0]' on route-B
 [x] Sent b'[2/20/2023 9:13, 88.0]' on route-C
 [x] Sent b'[2/20/2023 9:13, 120.0]' on route-A
 [x] Sent b'[2/20/2023 9:13, 86.0]' on route-B
 [x] Sent b'[2/20/2023 9:13, 122.0]' on route-C
 [x] Sent b'[2/20/2023 9:14, 90.0]' on route-A
 [x] Sent b'[2/20/2023 9:14, 113.0]' on route-B
 [x] Sent b'[2/20/2023 9:14, 120.0]' on route-C
 [x] Sent b'[2/20/2023 9:14, 100.0]' on route-A
 [x] Sent b'[2/20/2023 9:14, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:14, 100.0]' on route-C
 [x] Sent b'[2/20/2023 9:14, 130.0]' on route-A
 [x] Sent b'[2/20/2023 9:14, 88.0]' on route-B
 [x] Sent b'[2/20/2023 9:14, 87.0]' on route-C
 [x] Sent b'[2/20/2023 9:15, 106.0]' on route-A
 [x] Sent b'[2/20/2023 9:15, 95.0]' on route-B
 [x] Sent b'[2/20/2023 9:15, 117.0]' on route-C
 [x] Sent b'[2/20/2023 9:15, 105.0]' on route-A
 [x] Sent b'[2/20/2023 9:15, 114.0]' on route-B
 [x] Sent b'[2/20/2023 9:15, 108.0]' on route-C
 [x] Sent b'[2/20/2023 9:15, 111.0]' on route-A
 [x] Sent b'[2/20/2023 9:15, 94.0]' on route-B
 [x] Sent b'[2/20/2023 9:15, 110.0]' on route-C
 [x] Sent b'[2/20/2023 9:16, 130.0]' on route-A
 [x] Sent b'[2/20/2023 9:16, 98.0]' on route-B
 [x] Sent b'[2/20/2023 9:16, 100.0]' on route-C
 [x] Sent b'[2/20/2023 9:16, 95.0]' on route-A
 [x] Sent b'[2/20/2023 9:16, 86.0]' on route-B
 [x] Sent b'[2/20/2023 9:16, 126.0]' on route-C
 [x] Sent b'[2/20/2023 9:16, 118.0]' on route-A
 [x] Sent b'[2/20/2023 9:16, 96.0]' on route-B
 [x] Sent b'[2/20/2023 9:16, 87.0]' on route-C
 [x] Sent b'[2/20/2023 9:17, 119.0]' on route-A
 [x] Sent b'[2/20/2023 9:17, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:17, 114.0]' on route-C
 [x] Sent b'[2/20/2023 9:17, 119.0]' on route-A
 [x] Sent b'[2/20/2023 9:17, 124.0]' on route-B
 [x] Sent b'[2/20/2023 9:17, 103.0]' on route-C
 [x] Sent b'[2/20/2023 9:17, 116.0]' on route-A
 [x] Sent b'[2/20/2023 9:17, 125.0]' on route-B
 [x] Sent b'[2/20/2023 9:17, 100.0]' on route-C
 [x] Sent b'[2/20/2023 9:18, 100.0]' on route-A
 [x] Sent b'[2/20/2023 9:18, 99.0]' on route-B
 [x] Sent b'[2/20/2023 9:18, 107.0]' on route-C
 [x] Sent b'[2/20/2023 9:18, 114.0]' on route-A
 [x] Sent b'[2/20/2023 9:18, 85.0]' on route-B
 [x] Sent b'[2/20/2023 9:18, 127.0]' on route-C
 [x] Sent b'[2/20/2023 9:18, 121.0]' on route-A
 [x] Sent b'[2/20/2023 9:18, 89.0]' on route-B
 [x] Sent b'[2/20/2023 9:18, 92.0]' on route-C
 [x] Sent b'[2/20/2023 9:19, 109.0]' on route-A
 [x] Sent b'[2/20/2023 9:19, 113.0]' on route-B
 [x] Sent b'[2/20/2023 9:19, 101.0]' on route-C
 [x] Sent b'[2/20/2023 9:19, 87.0]' on route-A
 [x] Sent b'[2/20/2023 9:19, 86.0]' on route-B
 [x] Sent b'[2/20/2023 9:19, 96.0]' on route-C
 [x] Sent b'[2/20/2023 9:19, 105.0]' on route-A
 [x] Sent b'[2/20/2023 9:19, 117.0]' on route-B
 [x] Sent b'[2/20/2023 9:19, 95.0]' on route-C
 [x] Sent b'[2/20/2023 9:20, 91.0]' on route-A
 [x] Sent b'[2/20/2023 9:20, 100.0]' on route-B
 [x] Sent b'[2/20/2023 9:20, 118.0]' on route-C
 [x] Sent b'[2/20/2023 9:20, 120.0]' on route-A
 [x] Sent b'[2/20/2023 9:20, 111.0]' on route-B
 [x] Sent b'[2/20/2023 9:20, 106.0]' on route-C
 [x] Sent b'[2/20/2023 9:20, 108.0]' on route-A
 [x] Sent b'[2/20/2023 9:20, 117.0]' on route-B
 [x] Sent b'[2/20/2023 9:20, 98.0]' on route-C
 [x] Sent b'[2/20/2023 9:21, 114.0]' on route-A
 [x] Sent b'[2/20/2023 9:21, 86.0]' on route-B
 [x] Sent b'[2/20/2023 9:21, 92.0]' on route-C
 [x] Sent b'[2/20/2023 9:21, 112.0]' on route-A
 [x] Sent b'[2/20/2023 9:21, 88.0]' on route-B
 [x] Sent b'[2/20/2023 9:21, 129.0]' on route-C
 [x] Sent b'[2/20/2023 9:21, 87.0]' on route-A
 [x] Sent b'[2/20/2023 9:21, 94.0]' on route-B
 [x] Sent b'[2/20/2023 9:21, 128.0]' on route-C
 [x] Sent b'[2/20/2023 9:22, 123.0]' on route-A
 [x] Sent b'[2/20/2023 9:22, 113.0]' on route-B
 [x] Sent b'[2/20/2023 9:22, 99.0]' on route-C
 [x] Sent b'[2/20/2023 9:22, 95.0]' on route-A
 [x] Sent b'[2/20/2023 9:22, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:22, 87.0]' on route-C
 [x] Sent b'[2/20/2023 9:22, 110.0]' on route-A
 [x] Sent b'[2/20/2023 9:22, 111.0]' on route-B
 [x] Sent b'[2/20/2023 9:22, 97.0]' on route-C
 [x] Sent b'[2/20/2023 9:23, 126.0]' on route-A
 [x] Sent b'[2/20/2023 9:23, 125.0]' on route-B
 [x] Sent b'[2/20/2023 9:23, 124.0]' on route-C
 [x] Sent b'[2/20/2023 9:23, 129.0]' on route-A
 [x] Sent b'[2/20/2023 9:23, 109.0]' on route-B
 [x] Sent b'[2/20/2023 9:23, 118.0]' on route-C
 [x] Sent b'[2/20/2023 9:23, 127.0]' on route-A
 [x] Sent b'[2/20/2023 9:23, 126.0]' on route-B
 [x] Sent b'[2/20/2023 9:23, 124.0]' on route-C
 [x] Sent b'[2/20/2023 9:24, 113.0]' on route-A
 [x] Sent b'[2/20/2023 9:24, 103.0]' on route-B
 [x] Sent b'[2/20/2023 9:24, 97.0]' on route-C
 [x] Sent b'[2/20/2023 9:24, 108.0]' on route-B
 [x] Sent b'[2/20/2023 9:24, 89.0]' on route-C
 [x] Sent b'[2/20/2023 9:24, 100.0]' on route-A
 [x] Sent b'[2/20/2023 9:24, 115.0]' on route-B
 [x] Sent b'[2/20/2023 9:24, 101.0]' on route-C
 [x] Sent b'[2/20/2023 9:25, 115.0]' on route-A
 [x] Sent b'[2/20/2023 9:25, 130.0]' on route-B
 [x] Sent b'[2/20/2023 9:25, 112.0]' on route-C
 [x] Sent b'[2/20/2023 9:25, 117.0]' on route-A
 [x] Sent b'[2/20/2023 9:25, 99.0]' on route-B
 [x] Sent b'[2/20/2023 9:25, 100.0]' on route-C
 [x] Sent b'[2/20/2023 9:25, 113.0]' on route-A
 [x] Sent b'[2/20/2023 9:25, 105.0]' on route-B
 [x] Sent b'[2/20/2023 9:25, 108.0]' on route-C
 [x] Sent b'[2/20/2023 9:26, 111.0]' on route-A
 [x] Sent b'[2/20/2023 9:26, 106.0]' on route-B
 [x] Sent b'[2/20/2023 9:26, 130.0]' on route-C
 [x] Sent b'[2/20/2023 9:26, 129.0]' on route-A
 [x] Sent b'[2/20/2023 9:26, 126.0]' on route-C
 [x] Sent b'[2/20/2023 9:26, 110.0]' on route-A
 [x] Sent b'[2/20/2023 9:26, 128.0]' on route-C
 [x] Sent b'[2/20/2023 9:27, 89.0]' on route-A
 [x] Sent b'[2/20/2023 9:27, 117.0]' on route-C
 [x] Sent b'[2/20/2023 9:27, 110.0]' on route-A
 [x] Sent b'[2/20/2023 9:27, 104.0]' on route-B
 [x] Sent b'[2/20/2023 9:27, 119.0]' on route-C
 [x] Sent b'[2/20/2023 9:27, 122.0]' on route-A
 [x] Sent b'[2/20/2023 9:27, 88.0]' on route-B
 [x] Sent b'[2/20/2023 9:27, 86.0]' on route-C
 [x] Sent b'[2/20/2023 9:28, 114.0]' on route-A
 [x] Sent b'[2/20/2023 9:28, 130.0]' on route-B
 [x] Sent b'[2/20/2023 9:28, 106.0]' on route-C
 [x] Sent b'[2/20/2023 9:28, 103.0]' on route-A
 [x] Sent b'[2/20/2023 9:28, 85.0]' on route-B
 [x] Sent b'[2/20/2023 9:28, 118.0]' on route-C
 [x] Sent b'[2/20/2023 9:28, 108.0]' on route-A
 [x] Sent b'[2/20/2023 9:28, 124.0]' on route-B
 [x] Sent b'[2/20/2023 9:28, 124.0]' on route-C
 [x] Sent b'[2/20/2023 9:29, 129.0]' on route-A
 [x] Sent b'[2/20/2023 9:29, 89.0]' on route-B
 [x] Sent b'[2/20/2023 9:29, 89.0]' on route-C
 [x] Sent b'[2/20/2023 9:29, 88.0]' on route-A
 [x] Sent b'[2/20/2023 9:29, 105.0]' on route-B
 [x] Sent b'[2/20/2023 9:29, 129.0]' on route-A
 [x] Sent b'[2/20/2023 9:29, 100.0]' on route-B
 [x] Sent b'[2/20/2023 9:29, 130.0]' on route-C
 [x] Sent b'[2/20/2023 9:30, 95.0]' on route-A
 [x] Sent b'[2/20/2023 9:30, 121.0]' on route-B
 [x] Sent b'[2/20/2023 9:30, 101.0]' on route-C
 [x] Sent b'[2/20/2023 9:30, 94.0]' on route-A
 [x] Sent b'[2/20/2023 9:30, 117.0]' on route-B
 [x] Sent b'[2/20/2023 9:30, 98.0]' on route-C
 [x] Sent b'[2/20/2023 9:30, 117.0]' on route-A
 [x] Sent b'[2/20/2023 9:30, 116.0]' on route-B
 [x] Sent b'[2/20/2023 9:30, 119.0]' on route-C
 [x] Sent b'[2/20/2023 9:31, 92.0]' on route-A
 [x] Sent b'[2/20/2023 9:31, 127.0]' on route-B
 [x] Sent b'[2/20/2023 9:31, 88.0]' on route-C
 [x] Sent b'[2/20/2023 9:31, 96.0]' on route-A
 [x] Sent b'[2/20/2023 9:31, 98.0]' on route-B
 [x] Sent b'[2/20/2023 9:31, 113.0]' on route-C
 [x] Sent b'[2/20/2023 9:31, 114.0]' on route-A
 [x] Sent b'[2/20/2023 9:31, 129.0]' on route-B
 [x] Sent b'[2/20/2023 9:31, 88.0]' on route-C
 [x] Sent b'[2/20/2023 9:32, 90.0]' on route-A
 [x] Sent b'[2/20/2023 9:32, 101.0]' on route-B
 [x] Sent b'[2/20/2023 9:32, 117.0]' on route-C
 [x] Sent b'[2/20/2023 9:32, 122.0]' on route-A
 [x] Sent b'[2/20/2023 9:32, 92.0]' on route-B
 [x] Sent b'[2/20/2023 9:32, 104.0]' on route-C
 [x] Sent b'[2/20/2023 9:32, 110.0]' on route-A
 [x] Sent b'[2/20/2023 9:32, 105.0]' on route-B
 [x] Sent b'[2/20/2023 9:32, 118.0]' on route-C
 [x] Sent b'[2/20/2023 9:33, 130.0]' on route-A
 [x] Sent b'[2/20/2023 9:33, 130.0]' on route-B
 [x] Sent b'[2/20/2023 9:33, 90.0]' on route-C
 [x] Sent b'[2/20/2023 9:33, 110.0]' on route-A
 [x] Sent b'[2/20/2023 9:33, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:33, 85.0]' on route-C
 [x] Sent b'[2/20/2023 9:33, 123.0]' on route-A
 [x] Sent b'[2/20/2023 9:33, 121.0]' on route-B
 [x] Sent b'[2/20/2023 9:33, 100.0]' on route-C
 [x] Sent b'[2/20/2023 9:34, 103.0]' on route-A
 [x] Sent b'[2/20/2023 9:34, 121.0]' on route-B
 [x] Sent b'[2/20/2023 9:34, 85.0]' on route-C
 [x] Sent b'[2/20/2023 9:34, 118.0]' on route-A
 [x] Sent b'[2/20/2023 9:34, 127.0]' on route-B
 [x] Sent b'[2/20/2023 9:34, 120.0]' on route-C
 [x] Sent b'[2/20/2023 9:34, 119.0]' on route-A
 [x] Sent b'[2/20/2023 9:34, 129.0]' on route-C
 [x] Sent b'[2/20/2023 9:35, 107.0]' on route-A
 [x] Sent b'[2/20/2023 9:35, 117.0]' on route-C
 [x] Sent b'[2/20/2023 9:35, 109.0]' on route-A
 [x] Sent b'[2/20/2023 9:35, 113.0]' on route-C
 [x] Sent b'[2/20/2023 9:35, 109.0]' on route-A
 [x] Sent b'[2/20/2023 9:35, 124.0]' on route-C
 [x] Sent b'[2/20/2023 9:36, 95.0]' on route-A
 [x] Sent b'[2/20/2023 9:36, 90.0]' on route-B
 [x] Sent b'[2/20/2023 9:36, 99.0]' on route-C
 [x] Sent b'[2/20/2023 9:36, 116.0]' on route-A
 [x] Sent b'[2/20/2023 9:36, 103.0]' on route-B
 [x] Sent b'[2/20/2023 9:36, 87.0]' on route-C
 [x] Sent b'[2/20/2023 9:36, 97.0]' on route-A
 [x] Sent b'[2/20/2023 9:36, 123.0]' on route-B
 [x] Sent b'[2/20/2023 9:36, 129.0]' on route-C
 [x] Sent b'[2/20/2023 9:37, 120.0]' on route-A
 [x] Sent b'[2/20/2023 9:37, 87.0]' on route-B
 [x] Sent b'[2/20/2023 9:37, 110.0]' on route-C
 [x] Sent b'[2/20/2023 9:37, 101.0]' on route-A
 [x] Sent b'[2/20/2023 9:37, 127.0]' on route-B
 [x] Sent b'[2/20/2023 9:37, 88.0]' on route-C
 [x] Sent b'[2/20/2023 9:37, 127.0]' on route-B
 [x] Sent b'[2/20/2023 9:37, 94.0]' on route-C
 [x] Sent b'[2/20/2023 9:38, 106.0]' on route-B
 [x] Sent b'[2/20/2023 9:38, 111.0]' on route-C
 [x] Sent b'[2/20/2023 9:38, 126.0]' on route-B
 [x] Sent b'[2/20/2023 9:38, 101.0]' on route-C
 [x] Sent b'[2/20/2023 9:38, 129.0]' on route-A
 [x] Sent b'[2/20/2023 9:38, 114.0]' on route-B
 [x] Sent b'[2/20/2023 9:38, 111.0]' on route-C
 [x] Sent b'[2/20/2023 9:39, 99.0]' on route-A
 [x] Sent b'[2/20/2023 9:39, 114.0]' on route-B
 [x] Sent b'[2/20/2023 9:39, 110.0]' on route-A
 [x] Sent b'[2/20/2023 9:39, 85.0]' on route-B
 [x] Sent b'[2/20/2023 9:39, 125.0]' on route-C
 [x] Sent b'[2/20/2023 9:39, 122.0]' on route-A
 [x] Sent b'[2/20/2023 9:39, 88.0]' on route-B
 [x] Sent b'[2/20/2023 9:39, 116.0]' on route-C
 [x] Sent b'[2/20/2023 9:40, 97.0]' on route-A
 [x] Sent b'[2/20/2023 9:40, 112.0]' on route-B
 [x] Sent b'[2/20/2023 9:40, 113.0]' on route-C
 [x] Sent b'[2/20/2023 9:40, 113.0]' on route-A
 [x] Sent b'[2/20/2023 9:40, 98.0]' on route-B
 [x] Sent b'[2/20/2023 9:40, 110.0]' on route-C
 [x] Sent b'[2/20/2023 9:40, 94.0]' on route-A
 [x] Sent b'[2/20/2023 9:40, 129.0]' on route-C
 [x] Sent b'[2/20/2023 9:41, 128.0]' on route-A
 [x] Sent b'[2/20/2023 9:41, 118.0]' on route-C
 [x] Sent b'[2/20/2023 9:41, 94.0]' on route-A
 [x] Sent b'[2/20/2023 9:41, 101.0]' on route-C
 [x] Sent b'[2/20/2023 9:41, 94.0]' on route-A
 [x] Sent b'[2/20/2023 9:41, 109.0]' on route-B
 [x] Sent b'[2/20/2023 9:41, 95.0]' on route-C
 [x] Sent b'[2/20/2023 9:42, 128.0]' on route-A
 [x] Sent b'[2/20/2023 9:42, 93.0]' on route-B
 [x] Sent b'[2/20/2023 9:42, 87.0]' on route-C
 [x] Sent b'[2/20/2023 9:42, 87.0]' on route-A
 [x] Sent b'[2/20/2023 9:42, 85.0]' on route-B
 [x] Sent b'[2/20/2023 9:42, 85.0]' on route-C
 [x] Sent b'[2/20/2023 9:42, 118.0]' on route-A
 [x] Sent b'[2/20/2023 9:42, 126.0]' on route-B
 [x] Sent b'[2/20/2023 9:42, 89.0]' on route-C
 [x] Sent b'[2/20/2023 9:43, 100.0]' on route-A
 [x] Sent b'[2/20/2023 9:43, 128.0]' on route-B
 [x] Sent b'[2/20/2023 9:43, 101.0]' on route-C
 [x] Sent b'[2/20/2023 9:43, 92.0]' on route-A
 [x] Sent b'[2/20/2023 9:43, 108.0]' on route-B
 [x] Sent b'[2/20/2023 9:43, 122.0]' on route-C
 [x] Sent b'[2/20/2023 9:43, 113.0]' on route-A
 [x] Sent b'[2/20/2023 9:43, 120.0]' on route-B
 [x] Sent b'[2/20/2023 9:43, 112.0]' on route-C
 [x] Sent b'[2/20/2023 9:44, 104.0]' on route-A
 [x] Sent b'[2/20/2023 9:44, 127.0]' on route-B
 [x] Sent b'[2/20/2023 9:44, 120.0]' on route-C
 [x] Sent b'[2/20/2023 9:44, 96.0]' on route-A
 [x] Sent b'[2/20/2023 9:44, 109.0]' on route-B
 [x] Sent b'[2/20/2023 9:44, 86.0]' on route-C
 [x] Sent b'[2/20/2023 9:44, 118.0]' on route-A
 [x] Sent b'[2/20/2023 9:44, 130.0]' on route-B
 [x] Sent b'[2/20/2023 9:44, 98.0]' on route-C
 [x] Sent b'[2/20/2023 9:45, 100.0]' on route-A
 [x] Sent b'[2/20/2023 9:45, 98.0]' on route-B
 [x] Sent b'[2/20/2023 9:45, 92.0]' on route-C
 [x] Sent b'[2/20/2023 9:45, 121.0]' on route-A
 [x] Sent b'[2/20/2023 9:45, 99.0]' on route-B
 [x] Sent b'[2/20/2023 9:45, 126.0]' on route-C
 [x] Sent b'[2/20/2023 9:45, 118.0]' on route-A
 [x] Sent b'[2/20/2023 9:45, 108.0]' on route-B
 [x] Sent b'[2/20/2023 9:45, 116.0]' on route-C
 [x] Sent b'[2/20/2023 9:46, 125.0]' on route-A
 [x] Sent b'[2/20/2023 9:46, 108.0]' on route-B
 [x] Sent b'[2/20/2023 9:46, 113.0]' on route-C
 [x] Sent b'[2/20/2023 9:46, 93.0]' on route-A
 [x] Sent b'[2/20/2023 9:46, 87.0]' on route-B
 [x] Sent b'[2/20/2023 9:46, 127.0]' on route-C
 [x] Sent b'[2/20/2023 9:46, 104.0]' on route-A
 [x] Sent b'[2/20/2023 9:46, 85.0]' on route-B
 [x] Sent b'[2/20/2023 9:46, 128.0]' on route-C
 [x] Sent b'[2/20/2023 9:47, 99.0]' on route-A
 [x] Sent b'[2/20/2023 9:47, 121.0]' on route-B
 [x] Sent b'[2/20/2023 9:47, 123.0]' on route-C
 [x] Sent b'[2/20/2023 9:47, 91.0]' on route-A
 [x] Sent b'[2/20/2023 9:47, 112.0]' on route-B
 [x] Sent b'[2/20/2023 9:47, 101.0]' on route-C
 [x] Sent b'[2/20/2023 9:47, 104.0]' on route-A
 [x] Sent b'[2/20/2023 9:47, 129.0]' on route-B
 [x] Sent b'[2/20/2023 9:47, 95.0]' on route-C
 [x] Sent b'[2/20/2023 9:48, 117.0]' on route-A
 [x] Sent b'[2/20/2023 9:48, 111.0]' on route-B
 [x] Sent b'[2/20/2023 9:48, 108.0]' on route-C
 [x] Sent b'[2/20/2023 9:48, 102.0]' on route-A
 [x] Sent b'[2/20/2023 9:48, 114.0]' on route-B
 [x] Sent b'[2/20/2023 9:48, 110.0]' on route-C
 [x] Sent b'[2/20/2023 9:48, 99.0]' on route-A
 [x] Sent b'[2/20/2023 9:48, 111.0]' on route-B
 [x] Sent b'[2/20/2023 9:48, 90.0]' on route-C
 [x] Sent b'[2/20/2023 9:49, 119.0]' on route-A
 [x] Sent b'[2/20/2023 9:49, 95.0]' on route-B
 [x] Sent b'[2/20/2023 9:49, 100.0]' on route-C
 [x] Sent b'[2/20/2023 9:49, 113.0]' on route-A
 [x] Sent b'[2/20/2023 9:49, 128.0]' on route-B
 [x] Sent b'[2/20/2023 9:49, 110.0]' on route-C
